Magazine,Month_Full,Month_Abbr,Year,YearInput,Special,isSpecial,Created
"Playboy","February","feb","1974","74","","false","2026-01-11T15:37:42.370Z"
"Playboy","February","feb","1975","75","","false","2026-01-11T15:38:48.766Z"
"Playboy","sept","sept","1975","75","","false","2026-01-11T15:59:45.562Z"
"Playboy","August","aug","1975","75","","false","2026-01-11T16:00:04.121Z"
"Playboy","July","jul","1975","75","","false","2026-01-11T16:00:24.449Z"
"Playboy","May","may","1975","75","","false","2026-01-11T16:12:35.530Z"
"Playboy","April","apr","1975","75","","false","2026-01-11T17:11:00.713Z"
"Playboy","January","jan","1974","74","","false","2026-01-11T17:14:02.079Z"
"Playboy","June","jun","1976","76","","false","2026-01-11T23:03:44.226Z"
"Playboy","July","jul","1976","76","","false","2026-01-11T23:10:18.961Z"
"Playboy","April","apr","1976","76","","false","2026-01-11T23:10:38.345Z"
"Playboy","March","mar","1976","76","","false","2026-01-11T23:10:56.953Z"
"Playboy","February","feb","1976","76","","false","2026-01-11T23:11:33.545Z"
"Playboy","January","jan","1976","76","","false","2026-01-11T23:11:41.561Z"
"Playboy","November","nov","1976","76","","false","2026-01-11T23:12:19.289Z"
"Playboy","October","oct","1976","76","","false","2026-01-11T23:12:35.545Z"
"Playboy","August","aug","1976","76","","false","2026-01-11T23:12:51.337Z"
"Playboy","April","apr","1974","74","","false","2026-01-11T23:13:07.721Z"
"Playboy","March","mar","1974","74","","false","2026-01-11T23:13:31.674Z"
"Playboy","April","apr","1977","77","","false","2026-01-11T23:22:56.506Z"
"Playboy","May","may","1977","77","","false","2026-01-11T23:23:14.994Z"
"Playboy","June","jun","1977","77","","false","2026-01-11T23:23:36.674Z"
"Playboy","July","jul","1977","77","","false","2026-01-11T23:23:54.042Z"
"Playboy","September","sep","1977","77","","false","2026-01-11T23:24:21.602Z"
"Playboy","October","oct","1977","77","","false","2026-01-11T23:24:41.690Z"
"Playboy","November","nov","1977","77","","false","2026-01-11T23:24:59.338Z"
"Playboy","December","dec","1977","77","","false","2026-01-11T23:25:17.266Z"
"Playboy","July","jul","1976","76","","false","2026-01-11T23:25:36.906Z"
"Playboy","sept","sept","1979","79","","false","2026-01-11T23:28:51.162Z"
"Playboy","October","oct","1979","79","","false","2026-01-11T23:29:20.402Z"
"Playboy","November","nov","1979","79","","false","2026-01-11T23:29:54.988Z"
"Playboy","December","dec","1979","79","","false","2026-01-11T23:30:15.971Z"
"Playboy","January","jan","1978","78","","false","2026-01-11T23:30:36.154Z"
"Playboy","March","mar","1978","78","","false","2026-01-11T23:30:50.746Z"
"Playboy","April","apr","1978","78","","false","2026-01-11T23:31:16.155Z"
"Playboy","June","jun","1978","78","","false","2026-01-11T23:31:33.530Z"
"Playboy","August","aug","1978","78","","false","2026-01-11T23:32:10.827Z"
"Playboy","September","sep","1978","78","","false","2026-01-11T23:32:47.146Z"
"Playboy","November","nov","1978","78","","false","2026-01-11T23:34:14.579Z"
"Playboy","December","dec","1978","1978","Special","true","2026-01-11T23:35:05.786Z"
"Playboy","December","dec","1978","78","","false","2026-01-11T23:36:07.981Z"
