Magazine,Month,Year,Special,Special,Custom
Penthouse,January,1974,,FALSE,undefined
Penthouse,May,1974,,FALSE,undefined
Penthouse,June,1974,,FALSE,undefined
Penthouse,July,1974,,FALSE,undefined
Penthouse,August,1973,,FALSE,undefined
Penthouse,November,1973,,FALSE,undefined
Penthouse,January,1995,,FALSE,undefined
Penthouse,May,1989,,FALSE,undefined
Penthouse,July,1987,,FALSE,undefined
Penthouse,August,1984,,FALSE,undefined
Penthouse,November,1983,,FALSE,undefined
Penthouse,May,1981,,FALSE,undefined
Penthouse,December,1981,,FALSE,undefined
Penthouse,February,1979,,FALSE,undefined
Penthouse,February,1978,,FALSE,undefined
Penthouse,March,1978,,FALSE,undefined
Penthouse,April,1978,,FALSE,undefined
Penthouse,june,1978,,FALSE,undefined
Penthouse,September,1978,,FALSE,undefined
Penthouse,May,1977,,FALSE,undefined
Penthouse,October,1977,,FALSE,undefined
Penthouse,November,1977,,FALSE,undefined
Playboy,November,1980,,FALSE,undefined
Playboy,January,1989,,FALSE,undefined
Playboy,February,1968,,FALSE,undefined
Playboy,now,1978,,FALSE,undefined
Playboy,April,1977,,FALSE,undefined
Penthouse,November,1973,,FALSE,undefined
Playboy's Girls of The World,N/A,0,Pictorials,TRUE,TRUE
The Playboy Cartoon Album 3,N/A,0,All cartoons,TRUE,TRUE
Penthouse,November,1976,,FALSE,undefined
Playboy Special tribute Issue - Celebrating Hef,N/A,0,Special,TRUE,TRUE
Playboy,October,1971,,FALSE,undefined
Playboy,December,1967,,FALSE,undefined
Playboy,July,1973,,FALSE,undefined
Playboy,November,1982,,FALSE,undefined
Playboy,October,1966,,FALSE,undefined
Playboy,October,1976,,FALSE,undefined
Playboy,December,1980,,FALSE,undefined
Playboy,February,1974,,FALSE,undefined
Playboy,May,1971,,FALSE,undefined
Playboy,April,1978,,FALSE,undefined
Playboy,June,1972,,FALSE,undefined
Playboy,February,1969,,FALSE,undefined
Playboy,August,1970,,FALSE,undefined
Playboy,October,1973,,FALSE,undefined
Playboy,May,1978,,FALSE,undefined
Penthouse,November,1969,,FALSE,undefined
Penthouse - Pet Poster,N/A,0,Victoria Lynn Johnson,TRUE,TRUE
Penthouse - Pet Calendar,N/A,0,Victoria Lyn  Johnson,TRUE,TRUE
Oui,December,1981,,FALSE,undefined
Playboy Presents 50 Beautiful Women,1989,1989,A Special Collection,TRUE,TRUE
Playboy,April,1981,,FALSE,undefined
Playboy,January,1973,,FALSE,undefined
Playboy,June,1982,,FALSE,undefined
Playboy,June,1973,,FALSE,undefined
Playboy,May,1977,,FALSE,undefined
Playboy,December,1981,,FALSE,undefined
Playboy,July,1966,,FALSE,undefined
Playboy,April,1966,,FALSE,undefined
Playboy,November,1964,,FALSE,undefined
Playboy,sept,1981,,FALSE,undefined
Playboy,July,1963,,FALSE,undefined
Playboy,February,1965,,FALSE,undefined
Playboy,sept,1969,,FALSE,undefined
Playboy,March,1974,,FALSE,undefined
Playboy,May,1966,,FALSE,undefined
Playboy,December,1980,,FALSE,undefined
Playboy,sept,1996,,FALSE,undefined
Playboy,April,1988,,FALSE,undefined
Playboy,june,1971,,FALSE,undefined
Playboy,March,1994,,FALSE,undefined
Playboy,December,1985,,FALSE,undefined
Playboy,jab,1984,,FALSE,undefined
Playboy,sept,1978,,FALSE,undefined
Playboy,June,1968,,FALSE,undefined
Playboy,October,1983,,FALSE,undefined
Penthouse,October,1973,,FALSE,undefined
Penthouse,February,1973,,FALSE,undefined
Playboy,January,1976,,FALSE,undefined
Penthouse,December,1975,,FALSE,undefined
Penthouse,August,1977,,FALSE,undefined
Penthouse,April,1977,,FALSE,undefined
Penthouse,July,1981,,FALSE,undefined
Penthouse,November,1975,,FALSE,undefined
Penthouse,sept,1974,,FALSE,undefined
Penthouse,March,1974,,FALSE,undefined
Penthouse,December,1972,,FALSE,undefined
Penthouse,August,1980,,FALSE,undefined
Playboy,April,1976,,FALSE,undefined
Oui,sept,1973,,FALSE,undefined
Oui,july,1975,,FALSE,undefined
Oui,December,1977,,FALSE,undefined
Oui,December,1974,,FALSE,undefined
Easyriders,October,1983,,FALSE,undefined
Playboy,sept,1970,,FALSE,undefined
OUI Album,N/A,0,Special Collectors Edition,TRUE,TRUE
Playboy,sept,1977,,FALSE,undefined
Playboy,April,1970,,FALSE,undefined
OUI,October,1976,,FALSE,undefined
Playboy,January,1969,,FALSE,undefined
